NextWordPredictionModelRaw,NextWordPredictionModel,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood,median_log_likelihood,std_log_likelihood,min_log_likelihood,max_log_likelihood
cloze,Cloze,conjunction,cold,880,22,-0.4264189217079192,-0.0408219945202551,0.8851729097846726,-6.214608098422191,-0.002002002670673
cloze,Cloze,conjunction,fridge,4686,22,-0.8747512508025183,-0.2536027587989182,2.4012931332491965,-23.025850929940457,0.0
cloze,Cloze,conjunction,gym,3036,22,-1.2470805773797673,-1.210661792476733,0.8802733375766816,-4.828313737302301,-0.006018072325563
cloze,Cloze,conjunction,hot,3322,22,-0.586891210546457,-0.0943106794712412,0.9564212508047668,-5.521460917862246,0.0
cloze,Cloze,conjunction,mask,1804,22,-2.1646309836015685,-0.1719752647398103,5.9089969522744115,-23.025850929940457,0.0
cloze,Cloze,conjunction,meat,2046,22,-1.5412837255739158,-1.7957674906255936,1.1589475465090602,-4.605170185988091,-0.0080321716972642
cloze,Cloze,conjunction,restaurant,2002,22,-0.7487750832718848,-0.5242486440981312,0.7543332215878229,-5.115995809754082,-0.0040080213975388
cloze,Cloze,conjunction,salad,880,22,-0.704233629352089,-0.2957142441490452,0.7386494047532619,-3.079113882493041,-0.002002002670673
cloze,Cloze,conjunction,science,4686,22,-1.7212271911723054,-1.4271163556401458,1.9262552949544944,-23.025850929940457,0.0
cloze,Cloze,conjunction,throw,1518,22,-1.397148428398851,-1.6194882482876016,1.0614070263729247,-3.729701448634192,-0.0242926925690445
cloze,Cloze,conjunction,transport,220,22,-0.98507262619636,-0.1578240851935672,2.0878546842203405,-23.025850929940457,0.0
cloze,Cloze,disjunction,bag,1870,22,-0.8617683480206756,-0.6462635946610948,0.7944566905353446,-2.407945608651872,0.0
cloze,Cloze,disjunction,bakery,1628,22,-0.665991341185434,-0.353821874956326,0.7719987073388943,-3.381394754365975,-0.034591444769619
cloze,Cloze,disjunction,beach,1892,22,-0.8180889685381748,-0.623621117911335,0.9839487601176624,-5.115995809754081,-0.002002002670673
cloze,Cloze,disjunction,cold,880,22,-0.5452465303401719,-0.0921152889078056,0.8635653070275382,-3.324236340526026,-0.0366639843715914
cloze,Cloze,disjunction,fridge,4686,22,-2.8786757004307026,-0.0387408283164305,7.315292470915671,-23.025850929940457,0.0
cloze,Cloze,disjunction,gym,3036,22,-0.6102832235886793,-0.4620354595965587,0.619896681801473,-5.521460917862245,-0.0040080213975388
cloze,Cloze,disjunction,hot,3322,22,-1.8282355585278196,-0.2008929423793899,5.379735022397208,-23.025850929940457,0.0
cloze,Cloze,disjunction,mask,1804,22,-3.9069632242516725,-0.0704224642965459,8.323564343234718,-23.025850929940457,0.0
cloze,Cloze,disjunction,meat,2046,22,-0.8230230683654877,-0.623621117911335,0.7268359185963478,-2.9187712324178627,-0.002002002670673
cloze,Cloze,disjunction,restaurant,2002,22,-0.6556457655722168,-0.4620354595965587,0.689573506296055,-3.5065578973199805,0.0
cloze,Cloze,disjunction,salad,880,22,-0.5526467447730592,-0.1719752647398103,1.5589503209696196,-23.025850929940457,0.0
cloze,Cloze,disjunction,science,4686,22,-0.8339483281259925,-0.3974969384589874,0.9115023029226638,-6.214608098422191,0.0
cloze,Cloze,disjunction,throw,1518,22,-0.8217736848047491,-0.7465479572870606,0.589364829877399,-2.5770219386958058,-0.0040080213975388
cloze,Cloze,disjunction,transport,220,22,-1.7670572350131837,-0.0202027073175194,3.6236307291565746,-23.025850929940457,0.0
frequency,Frequency,ordering,bag,213,1,-1.6321207127435533,-1.1520130653952252,1.8229287973751374,-6.214608098422191,-0.002002002670673
frequency,Frequency,ordering,bakery,213,1,-3.0055480819941156,-0.8486320834003402,5.623047574703916,-23.025850929940457,0.0
frequency,Frequency,ordering,beach,213,1,-1.0816319381977546,-0.999672340813206,0.9609521072250645,-3.506557897319982,-0.0304592074847085
frequency,Frequency,ordering,cold,213,1,-1.0872822160533615,-0.911303190363116,0.882093278656137,-3.381394754365975,-0.034591444769619
frequency,Frequency,ordering,cut,213,1,-2.0470165825493627,-1.1711829815029449,2.307777685180834,-6.214608098422191,-0.002002002670673
frequency,Frequency,ordering,fridge,213,1,-1.2613213181970497,-0.2536027587989182,1.495758213411078,-4.017383521085972,0.0
frequency,Frequency,ordering,gym,213,1,-1.3505800269730537,-1.016111067156366,1.418040611078161,-4.8283137373023015,-0.0080321716972642
frequency,Frequency,ordering,hot,213,1,-0.7372022549324313,-0.5621189181535411,0.44753290144960517,-2.2256240518579173,-0.1142891464021276
frequency,Frequency,ordering,mall,213,1,-1.847329728604655,-0.5344354894051243,2.146331588191064,-6.214608098422191,-0.002002002670673
frequency,Frequency,ordering,mask,213,1,-1.1309379279278964,-0.794073099149906,1.045485684427459,-3.912023005428146,-0.0202027073175194
frequency,Frequency,ordering,meat,213,1,-0.93839764934576,-0.5447271754416722,0.9602095480445422,-3.270169119255751,-0.0387408283164305
frequency,Frequency,ordering,restaurant,213,1,-1.2245045213315184,-0.9467499393588636,0.8162629242627834,-2.577021938695806,-0.0790432073404528
frequency,Frequency,ordering,salad,213,1,-0.893065921270161,-0.6891551592904078,0.6998320846819808,-2.385966701933097,-0.0965109003808437
frequency,Frequency,ordering,science,213,1,-1.465330362366678,-1.2241755116434554,1.2495019353076215,-5.521460917862246,-0.0040080213975388
frequency,Frequency,ordering,throw,213,1,-1.7955828029803145,-0.9781661355922424,1.7167249785858136,-5.115995809754082,-0.006018072325563
frequency,Frequency,ordering,transport,213,1,-2.7767964188838152,-0.49758039701597,5.487008692520834,-23.025850929940457,0.0
frequency,Frequency,set,bag,4686,22,-11.371530603515644,-0.006018072325563,11.490571021044454,-23.025850929940457,0.0
frequency,Frequency,set,bakery,4686,22,-13.441429346879698,-23.025850929940457,11.334199628208895,-23.025850929940457,0.0
frequency,Frequency,set,beach,4686,22,-11.531105565683175,-23.025850929940457,11.504447667117905,-23.025850929940457,0.0
frequency,Frequency,set,cold,4686,22,-8.324429185482026,0.0,11.033441340430354,-23.025850929940457,0.0
frequency,Frequency,set,cut,4686,22,-8.540104335517823,0.0,11.123677125773924,-23.025850929940457,0.0
frequency,Frequency,set,fridge,4686,22,-11.010786576101054,-5.521460917862246,10.906020313582452,-23.025850929940457,0.0
frequency,Frequency,set,gym,4686,22,-17.945029363239982,-23.025850929940457,9.54960487951066,-23.025850929940457,0.0
frequency,Frequency,set,hot,4686,22,-5.406107344029242,0.0,9.69205702478879,-23.025850929940457,0.0
frequency,Frequency,set,mall,4686,22,-14.918156940524803,-23.025850929940457,10.99898487090749,-23.025850929940457,0.0
frequency,Frequency,set,mask,4686,22,-8.648206922043364,0.0,11.152012402813384,-23.025850929940457,0.0
frequency,Frequency,set,meat,4686,22,-12.255307184045934,-23.025850929940457,11.26476001514313,-23.025850929940457,0.0
frequency,Frequency,set,restaurant,4686,22,-12.323694863911793,-23.025850929940457,11.48556734836211,-23.025850929940457,0.0
frequency,Frequency,set,salad,4686,22,-9.71325749883432,0.0,11.249330026390219,-23.025850929940457,0.0
frequency,Frequency,set,science,4686,22,-15.356162061396892,-23.025850929940457,10.438498507436503,-23.025850929940457,0.0
frequency,Frequency,set,throw,4686,22,-10.702156066028662,0.0,11.485567348362155,-23.025850929940457,0.0
frequency,Frequency,set,transport,4686,22,-10.021016306357213,0.0,11.232522730977031,-23.025850929940457,0.0
frequency,Frequency,conjunction,bag,1065,5,-10.73282995561073,-0.002002002670673,11.293555018845113,-23.025850929940457,0.0
frequency,Frequency,conjunction,bakery,1065,5,-13.44831626553524,-23.025850929940457,11.337643057550652,-23.025850929940457,0.0
frequency,Frequency,conjunction,beach,1065,5,-11.566976758233,-23.025850929940457,11.518207462426375,-23.025850929940457,0.0
frequency,Frequency,conjunction,cold,1065,5,-8.068962722611488,0.0,10.88765951668378,-23.025850929940457,0.0
frequency,Frequency,conjunction,cut,1065,5,-8.540104335517821,0.0,11.127715663662618,-23.025850929940457,0.0
frequency,Frequency,conjunction,fridge,1065,5,-11.531013555311256,-6.214608098422191,11.009537967459307,-23.025850929940457,0.0
frequency,Frequency,conjunction,gym,1065,5,-17.945029363239982,-23.025850929940457,9.553071938172264,-23.025850929940457,0.0
frequency,Frequency,conjunction,hot,1065,5,-5.447717927387037,0.0,9.734995263608017,-23.025850929940457,0.0
frequency,Frequency,conjunction,mall,1065,5,-14.918156940524804,-23.025850929940457,11.002978138298847,-23.025850929940457,0.0
frequency,Frequency,conjunction,mask,1065,5,-8.648206922043364,0.0,11.156061228045775,-23.025850929940457,0.0
frequency,Frequency,conjunction,meat,1065,5,-13.08041296959059,-23.025850929940457,11.411078000429727,-23.025850929940457,0.0
frequency,Frequency,conjunction,restaurant,1065,5,-12.323694863911793,-23.025850929940457,11.489737273323549,-23.025850929940457,0.0
frequency,Frequency,conjunction,salad,1065,5,-9.656604939520143,0.0,11.228477765557443,-23.025850929940457,0.0
frequency,Frequency,conjunction,science,1065,5,-15.5251197561163,-23.025850929940457,10.414228775629079,-23.025850929940457,0.0
frequency,Frequency,conjunction,throw,1065,5,-10.702156066028664,0.0,11.489737273323545,-23.025850929940457,0.0
frequency,Frequency,conjunction,transport,1065,5,-10.025526714250898,0.0,11.246671899431472,-23.025850929940457,0.0
frequency,Frequency,disjunction,bag,1065,5,-1.446095945519576,-1.3470736479666092,1.4428217051462635,-5.521460917862245,-0.0040080213975388
frequency,Frequency,disjunction,bakery,1065,5,-2.6468508128893187,-0.7174398731289898,4.836284239983115,-23.025850929940457,0.0
frequency,Frequency,disjunction,beach,1065,5,-1.1113399884305464,-0.9781661355922424,0.999359721717913,-4.135166556742355,-0.0161293819298836
frequency,Frequency,disjunction,cold,1065,5,-1.1648719063992887,-0.9467499393588636,0.9937838379120476,-4.422848629194136,-0.0120725812342692
frequency,Frequency,disjunction,cut,1065,5,-4.220955653125764,-1.1457038962019603,7.403757847540432,-23.025850929940457,0.0
frequency,Frequency,disjunction,fridge,1065,5,-1.1807843489408698,-0.2510287548037454,1.3587329476912837,-4.605170185988091,0.0
frequency,Frequency,disjunction,gym,1065,5,-1.4185722227354673,-0.9888614247089904,1.5146517110990276,-6.214608098422191,-0.002002002670673
frequency,Frequency,disjunction,hot,1065,5,-0.7509218513423991,-0.579818495252942,0.46366083043901574,-2.364460496712133,-0.0987159729391577
frequency,Frequency,disjunction,mall,1065,5,-2.953464514647702,-0.5551258826625705,5.684386907917073,-23.025850929940457,0.0
frequency,Frequency,disjunction,mask,1065,5,-1.1452764886701603,-0.7298111649315367,1.1051656451378298,-4.268697949366878,-0.0140989243795016
frequency,Frequency,disjunction,meat,1065,5,-0.9706789094818589,-0.5412848312506993,1.062060323674425,-4.135166556742355,-0.0161293819298836
frequency,Frequency,disjunction,restaurant,1065,5,-1.2102968390965916,-0.8915981192837834,0.8036401455017493,-2.995732273553991,-0.0512932943875505
frequency,Frequency,disjunction,salad,1065,5,-0.915151564858939,-0.6733445532637655,0.7481758849994368,-3.3813947543659757,-0.034591444769619
frequency,Frequency,disjunction,science,1065,5,-1.4322532318886418,-1.33941077522104,1.164827088682578,-5.115995809754082,-0.006018072325563
frequency,Frequency,disjunction,throw,1065,5,-2.026905758643939,-1.0106014113453965,2.9736497619110063,-23.025850929940457,0.0
frequency,Frequency,disjunction,transport,1065,5,-3.0613315495102755,-0.5551258826625705,5.879820464748547,-23.025850929940457,0.0
